database,covariate,SMD_before,SMD_after
MIMIC-IV,admission_source_EMERGENCY ROOM,-0.33609169027546654,2.428664345409724e-07
MIMIC-IV,admission_source_Other,0.010330171845469735,5.1223121567254785e-08
MIMIC-IV,admission_source_PHYSICIAN REFERRAL,-0.14825319958451663,1.9395215859561925e-07
MIMIC-IV,admission_source_PROCEDURE SITE,-0.1558538814143489,-0.0008622550450897544
MIMIC-IV,admission_source_TRANSFER FROM HOSPITAL,0.418898397360318,3.0850741567604124e-07
MIMIC-IV,admission_source_WALK-IN/SELF REFERRAL,0.18272401635297494,8.268630692732295e-08
MIMIC-IV,anchor_year_group_2011 - 2013,-0.341611309682702,-2.8495237129126926e-07
MIMIC-IV,anchor_year_group_2014 - 2016,0.06647745198987375,3.7910806540148754e-08
MIMIC-IV,anchor_year_group_2017 - 2019,0.409042550782063,2.5001973515464217e-07
MIMIC-IV,anchor_year_group_2020 - 2022,0.3534743199101096,1.4212619992461557e-07
